gate,scope,passed,detail
MC5,B/K2/r3,True,anchor_match is True
MC1,B/K4/r1,True,S_C: BOTH test and train mask hashes match the Phase 7e anchor
MC3,B/K4/r1,True,anchor test/train hashes are stored on the row
MC5,B/K4/r1,True,anchor_match is True
MC1,B/K4/r2,True,S_C: BOTH test and train mask hashes match the Phase 7e anchor
MC3,B/K4/r2,True,anchor test/train hashes are stored on the row
MC5,B/K4/r2,True,anchor_match is True
MC1,B/K4/r3,True,S_C: BOTH test and train mask hashes match the Phase 7e anchor
MC3,B/K4/r3,True,anchor test/train hashes are stored on the row
MC5,B/K4/r3,True,anchor_match is True
MC1,B/K5/r1,True,S_C: BOTH test and train mask hashes match the Phase 7e anchor
MC3,B/K5/r1,True,anchor test/train hashes are stored on the row
MC5,B/K5/r1,True,anchor_match is True
MC1,B/K5/r2,True,S_C: BOTH test and train mask hashes match the Phase 7e anchor
MC3,B/K5/r2,True,anchor test/train hashes are stored on the row
MC5,B/K5/r2,True,anchor_match is True
MC1,B/K5/r3,True,S_C: BOTH test and train mask hashes match the Phase 7e anchor
MC3,B/K5/r3,True,anchor test/train hashes are stored on the row
MC5,B/K5/r3,True,anchor_match is True
MC2,B,True,S_C: intentional_seed_reuse is True
MC4,B,True,split seed is independent of RANDOM_DESIGN
