path,category,reason,risk_level,referenced_by,recommended_action
archive/notion_scripts/notion_v6_final.py,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,archive/misc/wait_and_update_notion.py,Keep in place until human confirms references and approves archive policy.
archive/notion_scripts/notion_v7_final.py,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,unreferenced,Keep in place until human confirms references and approves archive policy.
archive/notion_scripts/notion_v8_professor.py,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,unreferenced,Keep in place until human confirms references and approves archive policy.
archive/notion_scripts/notion_v9_final.py,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,unreferenced,Keep in place until human confirms references and approves archive policy.
expfam/figures/real_data/cora_subset_pilot/cora_subset_k_bic_auc.pdf,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,medium,unreferenced,Keep in place until human confirms references and approves archive policy.
expfam/figures/real_data/cora_subset_pilot/cora_subset_k_bic_auc.png,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,medium,unreferenced,Keep in place until human confirms references and approves archive policy.
expfam/figures/real_data/cora_subset_pilot/cora_subset_z_by_label.pdf,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,medium,unreferenced,Keep in place until human confirms references and approves archive policy.
expfam/figures/real_data/cora_subset_pilot/cora_subset_z_by_label.png,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,medium,unreferenced,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/GEMINI_REPORT_BIC.md,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,expfam/src/archive/experiment_synthetic_bic.py,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/GEMINI_REPORT_EXP1.md,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,expfam/src/archive/exp_synthetic_1_k.py,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/GEMINI_REPORT_EXP2.md,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,expfam/src/archive/exp_synthetic_2_n.py,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/GEMINI_REPORT_EXP3.md,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,expfam/src/archive/exp_synthetic_3_d.py,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/GEMINI_REPORT_EXP4.md,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,expfam/src/archive/exp_synthetic_4_mismatch.py,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/GEMINI_REPORT_EXP5.md,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,expfam/src/archive/exp_synthetic_5_ablation.py,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/GEMINI_REPORT_STEP2.md,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,expfam/src/archive/experiment_poc_poisson.py,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/GEMINI_REPORT_STEP3.md,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,unreferenced,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/GEMINI_REPORT_STEP3_5.md,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,expfam/src/archive/experiment_synthetic_d.py;expfam/results/archive/log_synthetic_d.txt,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/GEMINI_REPORT_STEP3_6.md,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,expfam/src/archive/experiment_synthetic_families.py;expfam/results/archive/log_families.txt,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/GEMINI_REPORT_STEP3_7.md,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,expfam/src/archive/experiment_synthetic_k_all.py;expfam/results/archive/log_k_all.txt,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/GEMINI_REPORT_STEP3_8.md,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,unreferenced,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/GEMINI_REPORT_STEP4.md,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,expfam/src/archive/experiment_real_movielens.py,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/GEMINI_REPORT_STEP4_5.md,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,expfam/src/archive/experiment_real_all.py,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/GEMINI_REPORT_ULTIMATE.md,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,unreferenced,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/exp1_k_plot.png,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,expfam/src/archive/exp_synthetic_1_k.py;expfam/results/archive/GEMINI_REPORT_ULTIMATE.md,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/exp1_k_summary.csv,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,expfam/src/archive/exp_synthetic_1_k.py;expfam/results/archive/GEMINI_REPORT_ULTIMATE.md,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/exp1_k_trials.csv,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,expfam/src/archive/exp_synthetic_1_k.py,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/exp2_n_plot.png,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,expfam/src/archive/exp_synthetic_2_n.py;expfam/results/archive/GEMINI_REPORT_ULTIMATE.md,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/exp2_n_summary.csv,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,expfam/src/archive/exp_synthetic_2_n.py;expfam/results/archive/GEMINI_REPORT_ULTIMATE.md,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/exp2_n_trials.csv,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,expfam/src/archive/exp_synthetic_2_n.py,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/exp3_d_plot.png,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,expfam/src/archive/exp_synthetic_3_d.py;expfam/results/archive/GEMINI_REPORT_ULTIMATE.md,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/exp3_d_summary.csv,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,expfam/src/archive/exp_synthetic_3_d.py;expfam/results/archive/GEMINI_REPORT_ULTIMATE.md,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/exp3_d_trials.csv,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,expfam/src/archive/exp_synthetic_3_d.py,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/exp4_mismatch_plot.png,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,expfam/src/archive/exp_synthetic_4_mismatch.py;expfam/results/archive/GEMINI_REPORT_ULTIMATE.md,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/exp4_mismatch_summary.csv,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,expfam/src/archive/exp_synthetic_4_mismatch.py;expfam/results/archive/GEMINI_REPORT_ULTIMATE.md,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/exp4_mismatch_trials.csv,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,expfam/src/archive/exp_synthetic_4_mismatch.py,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/exp5_ablation_plot.png,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,expfam/src/archive/exp_synthetic_5_ablation.py;expfam/results/archive/GEMINI_REPORT_ULTIMATE.md,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/exp5_ablation_summary.csv,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,expfam/src/archive/exp_synthetic_5_ablation.py;expfam/results/archive/GEMINI_REPORT_ULTIMATE.md,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/exp5_ablation_trials.csv,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,expfam/src/archive/exp_synthetic_5_ablation.py,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/exp_dual_1_k.csv,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,expfam/src/archive/exp_dual_1_k.py;expfam/results/archive/log_dual_1_k.txt,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/exp_dual_2_n.csv,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,expfam/src/archive/exp_dual_2_n_3_d.py;expfam/results/archive/log_dual_2_3_nd.txt,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/exp_dual_3_d.csv,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,expfam/src/archive/exp_dual_2_n_3_d.py;expfam/results/archive/log_dual_2_3_nd.txt,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/exp_dual_4_mismatch.csv,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,expfam/src/archive/exp_dual_4_mismatch.py;expfam/results/archive/log_dual_4_mismatch.txt,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/fig_dual_1_k.pdf,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,expfam/results/GEMINI_REPORT_PHASE2_FINAL.md;expfam/src/archive/exp_dual_1_k.py,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/fig_dual_1_k.png,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,expfam/src/archive/exp_dual_1_k.py;expfam/results/archive/log_dual_1_k.txt,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/fig_dual_2_n.pdf,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,expfam/results/GEMINI_REPORT_PHASE2_FINAL.md;expfam/src/archive/exp_dual_2_n_3_d.py,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/fig_dual_2_n.png,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,expfam/src/archive/exp_dual_2_n_3_d.py;expfam/results/archive/log_dual_2_3_nd.txt,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/fig_dual_3_d.pdf,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,expfam/results/GEMINI_REPORT_PHASE2_FINAL.md;expfam/src/archive/exp_dual_2_n_3_d.py,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/fig_dual_3_d.png,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,expfam/src/archive/exp_dual_2_n_3_d.py;expfam/results/archive/log_dual_2_3_nd.txt,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/fig_dual_4_heatmap.pdf,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,expfam/results/GEMINI_REPORT_PHASE2_FINAL.md;expfam/src/archive/exp_dual_4_mismatch.py,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/fig_dual_4_heatmap.png,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,expfam/src/archive/exp_dual_4_mismatch.py;expfam/results/archive/log_dual_4_mismatch.txt,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/fig_dual_5_barchart.pdf,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,expfam/results/GEMINI_REPORT_PHASE2_FINAL.md;expfam/src/archive/exp_dual_4_mismatch.py,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/fig_dual_5_barchart.png,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,expfam/src/archive/exp_dual_4_mismatch.py;expfam/results/archive/log_dual_4_mismatch.txt,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/log_d_all.txt,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,unreferenced,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/log_dual_1_k.txt,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,unreferenced,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/log_dual_2_3_nd.txt,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,unreferenced,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/log_dual_4_mismatch.txt,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,unreferenced,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/log_families.txt,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,unreferenced,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/log_k_all.txt,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,unreferenced,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/log_n_all.txt,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,unreferenced,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/log_synthetic_bic.txt,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,unreferenced,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/log_synthetic_d.txt,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,unreferenced,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/log_synthetic_n.txt,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,unreferenced,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/paper_fig_d_robustness.png,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,unreferenced,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/paper_fig_k_comparison.png,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,expfam/src/archive/experiment_real_all.py;expfam/results/archive/GEMINI_REPORT_STEP4_5.md,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/paper_fig_n_consistency.png,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,unreferenced,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/poc_Q_convergence.csv,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,expfam/src/archive/experiment_poc_poisson.py,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/poc_summary.csv,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,expfam/src/archive/experiment_poc_poisson.py,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/real_all_plot.png,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,expfam/src/archive/experiment_real_all.py;expfam/results/archive/GEMINI_REPORT_STEP4_5.md;expfam/results/archive/GEMINI_REPORT_ULTIMATE.md,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/real_all_results.csv,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,expfam/src/archive/experiment_real_all.py;expfam/results/archive/GEMINI_REPORT_STEP4_5.md,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/real_movielens_bic.csv,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,expfam/src/archive/experiment_real_movielens.py,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/real_movielens_plot.png,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,expfam/src/archive/experiment_real_all.py;expfam/src/archive/experiment_real_movielens.py;expfam/results/archive/GEMINI_REPORT_STEP4_5.md;expfam/results/archive/GEMINI_REPORT_ULTIMATE.md,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/real_movielens_results.csv,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,reports/real_data_experiment_plan.md;expfam/src/archive/experiment_real_all.py;expfam/src/archive/experiment_real_movielens.py;expfam/results/archive/GEMINI_REPORT_STEP4_5.md,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/synthetic_bic_plot.png,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,expfam/src/archive/experiment_synthetic_bic.py;expfam/results/archive/GEMINI_REPORT_ULTIMATE.md;expfam/results/archive/log_synthetic_bic.txt,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/synthetic_bic_summary.csv,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,expfam/src/archive/experiment_synthetic_bic.py;expfam/results/archive/log_synthetic_bic.txt,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/synthetic_bic_trials.csv,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,expfam/src/archive/experiment_synthetic_bic.py;expfam/results/archive/log_synthetic_bic.txt,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/synthetic_d_all_plot.png,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,expfam/src/archive/experiment_real_all.py;expfam/src/archive/experiment_synthetic_d_all.py;expfam/results/archive/GEMINI_REPORT_STEP4_5.md;expfam/results/archive/log_d_all.txt,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/synthetic_d_all_summary.csv,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,expfam/src/archive/experiment_synthetic_d_all.py;expfam/results/archive/log_d_all.txt,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/synthetic_d_all_trials.csv,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,expfam/src/archive/experiment_synthetic_d_all.py;expfam/results/archive/log_d_all.txt,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/synthetic_d_plot.png,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,expfam/src/archive/experiment_synthetic_d.py;expfam/results/archive/log_synthetic_d.txt,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/synthetic_d_summary.csv,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,expfam/src/archive/experiment_synthetic_d.py;expfam/results/archive/log_synthetic_d.txt,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/synthetic_d_trials.csv,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,expfam/src/archive/experiment_synthetic_d.py;expfam/results/archive/log_synthetic_d.txt,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/synthetic_families_plot.png,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,expfam/src/archive/experiment_synthetic_families.py;expfam/results/archive/log_families.txt,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/synthetic_families_summary.csv,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,expfam/src/archive/experiment_synthetic_families.py;expfam/results/archive/log_families.txt,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/synthetic_families_trials.csv,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,expfam/src/archive/experiment_synthetic_families.py;expfam/results/archive/log_families.txt,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/synthetic_k_all_plot.png,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,expfam/src/archive/experiment_real_all.py;expfam/src/archive/experiment_synthetic_k_all.py;expfam/results/archive/GEMINI_REPORT_STEP4_5.md;expfam/results/archive/log_k_all.txt,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/synthetic_k_all_summary.csv,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,expfam/src/archive/experiment_synthetic_k_all.py;expfam/results/archive/log_k_all.txt,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/synthetic_k_all_trials.csv,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,expfam/src/archive/experiment_synthetic_k_all.py;expfam/results/archive/log_k_all.txt,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/synthetic_n_all_plot.png,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,expfam/src/archive/experiment_real_all.py;expfam/src/archive/experiment_synthetic_n_all.py;expfam/results/archive/GEMINI_REPORT_STEP4_5.md;expfam/results/archive/log_n_all.txt,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/synthetic_n_all_summary.csv,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,expfam/src/archive/experiment_synthetic_n_all.py;expfam/results/archive/log_n_all.txt,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/synthetic_n_all_trials.csv,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,expfam/src/archive/experiment_synthetic_n_all.py;expfam/results/archive/log_n_all.txt,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/synthetic_n_plot.png,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,expfam/src/archive/experiment_synthetic_n.py;expfam/results/archive/log_synthetic_n.txt,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/synthetic_n_summary.csv,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,expfam/src/archive/experiment_synthetic_n.py;expfam/results/archive/log_synthetic_n.txt,Keep in place until human confirms references and approves archive policy.
expfam/results/archive/synthetic_n_trials.csv,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,expfam/src/archive/experiment_synthetic_n.py;expfam/results/archive/log_synthetic_n.txt,Keep in place until human confirms references and approves archive policy.
expfam/results/real_data/cora_subset_pilot/cora_subset_data_summary.csv,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,medium,expfam/src/run_fixed_real_cora_balanced_subset_pilot.py;expfam/src/run_fixed_real_cora_subset_pilot.py,Keep in place until human confirms references and approves archive policy.
expfam/results/real_data/cora_subset_pilot/cora_subset_k_metrics.csv,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,medium,expfam/src/run_fixed_real_cora_balanced_subset_pilot.py;expfam/src/run_fixed_real_cora_subset_pilot.py,Keep in place until human confirms references and approves archive policy.
expfam/results/real_data/cora_subset_pilot/cora_subset_z_embeddings.csv,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,medium,expfam/src/run_fixed_real_cora_subset_pilot.py,Keep in place until human confirms references and approves archive policy.
expfam/src/archive/exp_dual_1_k.py,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,expfam/results/GEMINI_REPORT_PHASE2_FINAL.md,Keep in place until human confirms references and approves archive policy.
expfam/src/archive/exp_dual_2_n_3_d.py,ARCHIVE_CANDIDATE,Listed in cleanup manifest as old/archive/pilot material or already under archive.,low,expfam/results/GEMINI_REPORT_PHASE2_FINAL.md,Keep in place until human confirms references and approves archive policy.
